student_id,hours_studied,previous_score,attendance,sleep_hours,extracurricular,parent_education,internet_access,final_score,extracurricular_encoded,parent_education_encoded,internet_access_encoded
1,7,97,72,4.2,Yes,Master,No,86.71,1,2,0
2,4,97,64,5.3,No,Bachelor,Yes,87.98,0,0,1
3,13,61,86,5.4,Yes,Master,Yes,100.0,1,2,1
4,11,88,70,8.0,Yes,Master,Yes,100.0,1,2,1
5,8,91,63,4.1,No,High School,Yes,98.38,0,1,1
6,13,81,51,4.6,Yes,Bachelor,Yes,100.0,1,0,1
7,5,45,60,8.8,No,Master,Yes,69.64,0,2,1
8,7,54,88,5.1,Yes,PhD,No,84.54,1,3,0
9,10,93,87,7.9,No,Master,Yes,100.0,0,2,1
10,3,82,83,5.4,Yes,High School,Yes,87.92,1,1,1
11,7,99,87,4.6,No,PhD,Yes,100.0,0,3,1
12,11,76,99,5.5,No,High School,No,100.0,0,1,0
13,11,72,83,8.3,Yes,Master,No,100.0,1,2,0
14,8,47,67,9.1,Yes,PhD,Yes,83.0,1,3,1
15,5,92,79,9.0,Yes,Bachelor,Yes,100.0,1,0,1
16,4,99,64,6.4,No,Bachelor,Yes,94.31,0,0,1
17,8,83,76,8.0,Yes,PhD,Yes,97.08,1,3,1
18,8,83,83,5.2,No,PhD,No,82.72,0,3,0
19,3,44,87,5.8,No,High School,Yes,64.55,0,1,1
20,6,78,82,9.4,Yes,PhD,Yes,94.6,1,3,1
21,5,43,73,4.1,No,High School,Yes,62.51,0,1,1
22,2,45,64,4.5,No,Master,No,52.71,0,2,0
23,8,84,79,5.2,Yes,High School,Yes,99.23,1,1,1
24,12,71,91,4.2,Yes,PhD,Yes,100.0,1,3,1
25,14,91,66,5.1,Yes,PhD,Yes,100.0,1,3,1
26,6,69,54,7.5,No,Master,No,78.45,0,2,0
27,2,86,78,6.5,No,PhD,Yes,87.26,0,3,1
28,12,74,53,9.4,No,PhD,Yes,94.31,0,3,1
29,5,94,59,8.9,No,Bachelor,Yes,98.75,0,0,1
30,1,79,66,6.1,No,Bachelor,Yes,73.57,0,0,1
31,12,91,59,5.6,No,Master,Yes,100.0,0,2,1
32,10,55,66,6.3,No,High School,Yes,79.39,0,1,1
33,6,52,69,7.5,Yes,Bachelor,Yes,73.18,1,0,1
34,13,89,73,5.6,Yes,High School,Yes,100.0,1,1,1
35,12,99,54,7.7,Yes,PhD,Yes,100.0,1,3,1
36,9,81,83,6.5,Yes,Bachelor,No,98.14,1,0,0
37,1,69,55,7.3,No,Master,Yes,63.1,0,2,1
38,11,58,51,6.6,No,Master,No,87.33,0,2,0
39,11,56,62,5.8,Yes,Master,Yes,84.85,1,2,1
40,10,95,92,9.7,Yes,Bachelor,Yes,100.0,1,0,1
41,12,58,92,8.6,No,High School,Yes,98.0,0,1,1
42,12,67,97,4.8,No,PhD,Yes,100.0,0,3,1
43,14,97,60,9.2,Yes,High School,Yes,100.0,1,1,1
44,14,94,96,6.9,No,High School,Yes,100.0,0,1,1
45,14,65,72,9.4,Yes,PhD,Yes,100.0,1,3,1
46,3,76,65,8.8,Yes,PhD,No,82.39,1,3,0
47,12,65,80,6.6,No,Bachelor,Yes,99.6,0,0,1
48,7,92,60,4.1,No,Bachelor,No,82.64,0,0,0
49,4,62,65,5.6,Yes,Bachelor,Yes,80.6,1,0,1
50,9,48,57,7.2,No,Bachelor,Yes,74.83,0,0,1
51,3,51,53,7.8,No,Bachelor,Yes,62.46,0,0,1
52,5,92,89,5.5,No,PhD,Yes,91.48,0,3,1
53,3,40,53,4.8,No,High School,Yes,40.79,0,1,1
54,7,97,74,9.0,No,Bachelor,Yes,100.0,0,0,1
55,5,97,52,9.9,No,Bachelor,Yes,100.0,0,0,1
56,9,40,81,7.2,No,High School,Yes,84.52,0,1,1
57,7,86,52,5.0,Yes,Bachelor,Yes,91.5,1,0,1
58,2,73,76,5.6,Yes,High School,No,76.39,1,1,0
59,4,71,78,4.1,Yes,High School,No,80.16,1,1,0
60,9,93,81,9.5,No,PhD,Yes,100.0,0,3,1
61,12,87,99,4.7,Yes,Master,Yes,100.0,1,2,1
62,14,64,68,7.5,No,PhD,Yes,100.0,0,3,1
63,2,79,70,5.6,No,Master,Yes,80.48,0,2,1
64,10,84,54,7.3,Yes,Master,No,100.0,1,2,0
65,9,92,67,7.9,No,Master,Yes,100.0,0,2,1
66,10,40,77,9.0,No,Bachelor,Yes,84.7,0,0,1
67,5,55,91,5.2,No,PhD,Yes,81.46,0,3,1
68,2,78,71,4.1,Yes,Master,Yes,82.41,1,2,1
69,4,44,70,4.8,No,High School,Yes,61.43,0,1,1
70,12,61,55,9.4,No,Bachelor,No,88.23,0,0,0
71,12,68,50,9.2,No,PhD,Yes,96.31,0,3,1
72,7,94,54,7.6,No,Master,Yes,100.0,0,2,1
73,12,42,90,7.6,No,High School,No,83.2,0,1,0
74,13,51,61,8.0,No,PhD,Yes,83.96,0,3,1
75,8,65,75,5.1,No,PhD,Yes,86.47,0,3,1
76,3,55,95,9.5,No,Bachelor,Yes,81.0,0,0,1
